Company Name, Email, Website, ContactPerson name, ContactPerson email, ContactPerson telephone, ContactPerson Fax
A & A Produce Marketing, aaproduce@tiscali.co.uk, NaN, Andy Sharp (Director), NaN, 07771 617333, NaN
A & P Hill Fruit Ltd, ghill@phillfruit.co.uk, NaN, Office, NaN, 01622 728404, 01622 728921
ACT - The Fruit Grower, Chris.Tanton@actpub.co.uk, http://www.actpub.co.uk/, NaN, NaN, 01622 695656, 01622 663733
AG Thames Holdings Ltd, francisw@agthames.co.uk, NaN, Francis Wheatley, NaN, 01322 429212, NaN
Agralan Ltd., sales@agralan.co.uk, NaN, Emma Watkins, NaN, 01285 860015, NaN
Agrii, NaN, NaN, Colin Bird, NaN, 07885 252426, NaN
Andermatt Biocontrol UK Ltd, NaN, NaN, Dr Andrew Brown, andrew.brown@andermattuk.com, 07939395059, NaN
Bee Farmers' Association of the UK, earlswoodbees@hotmail.co.uk, NaN, Alan Hart, NaN, 01603 308911, NaN
Channel Weighing Ltd, sales@channel-weighing.co.uk, http://www.channel-weighing.co.uk/, NaN, NaN, 0800 2985842, NaN
DPS Ltd, enquiries@dpsltd.com, NaN, NaN, NaN, 0800 2985842, NaN
Edmed F & Sons, enquiries@edmed.co.uk, http://www.edmed.co.uk/, NaN, NaN, 01622 843219, 01622 844155
Foxendown Fruit Farms, john.tobutt@tiscali.co.uk, http://www.meophamfruit.co.uk/, NaN, NaN, 01474 815080, NaN
Frank P Matthews, nick@fpmatthews.co.uk, http://www.frankpmatthews.com/, NaN, NaN, 01584 810214, 01584 811830
Fruit Advisory Services Team LLP, info@fastllp.com, http://www.fastllp.com, NaN, NaN, 01795 533225, 01795 532422
IDAS , wim@irrigationdesign.co.uk, http://www.irrigationdesign.co.uk/, NaN, NaN, 01202 825174, 07850 327994
J R Breach, jrbreach@btclick.com, http://www.jrbreach.com/, NaN, NaN, 01580 891756, 01580 892905
Janny MT, jannymt@jannymt.com, http://www.jannymt.com/, Adrien Buisson, NaN, +33 3 85 23 96 20, NaN
Kemsley JT (Spitalfields) Ltd, NaN, NaN, NaN, NaN, 0208 558 7711, 0208 556 8726
Koppert UK Ltd, info@koppert.co.uk, http://www.koppert.co.uk/, NaN, NaN, 01440 704488, 01440 704487
Lamberhurst Engineering Ltd, info@lameng.com, http://www.lameng.com/, NaN, NaN, 01892 890364,  01892 890122
Lambert and Foster, agric@lambertandfoster.co.uk, http://www.lambertandfoster.co.uk/, Paddock Wood, NaN, 01892 832325, 01892 834700
Landseer Ltd, info@lanfruit.co.uk, http://www.lanfruit.co.uk/,  Mark Tully or Colin Carter, NaN, 01245 357109, NaN
M & J Timber Orchard Bins, infor@mjtimberni.co.uk, http://mjtimberni.co.uk/, NaN, NaN, 028 388 79550, 028 388 79550
Newleaf Irrigation Ltd, NaN, http://www.newleafirrigation.co.uk, Office, NaN, 01772 691896, 01772 691984
Orchard Produce, NaN, NaN, NaN, NaN, 01424 870116, 01424 870119
Origin UK Operations Ltd, charles.worsfold@btinternet.com, NaN, Charles Worsfold, NaN, 01622 843101, 01622 840144
Pick App, NaN, NaN, Mike, mike@mjc-producemarketing.com, 07850 775689, NaN
Plant Impact plc, dave.mclellan@plantimpact.com, http://www.plantimpact.com/, Dave McLellan, NaN, 01582 465 540, NaN
Scott Group, webenquiries@scottgroupltd.com, http://www.scottgroupltd.com, NaN, NaN, 01795 858365, NaN
Staplehurst Transits, info@staplehursttransits.co.uk, http://www.staplehursttransits.co.uk/, Administration, NaN, 01580 893714,  01580 892695
Stephens TF & RD Ltd, NaN, NaN, Jean Wigzell, jean.wigzell@hotmail.com, 01892 837718/0771 200 1657, NaN
Stephens TF & RD Marketing, NaN, NaN, Lynda Grenham, lynngrenham@hotmail.co.uk,  01892 661886 /  078 083 77 77 6, NaN
Storage Control Systems, NaN, http://www.storagecontrol.com, Trevor, trevoru@storagecontrol.com, 01892 831702, NaN
United Kingdom Controlled Atmosphere (UKCA) Ltd, sales@ukcaltd.com, http://www.ukcaltd.com/, Trevor, trevoru@storagecontrol.com, 01892 831702, NaN
Utilitas, save@utilitas-solutions.co.uk, http://www.utilitas-solutions.co.uk/, NaN, NaN, 01233 220407, NaN
V Howland, NaN, NaN, NaN, NaN, 01227 751465, NaN
W H Skinner & Sons, NaN, NaN, Peter, peter@whskinnerandsons.co.uk, 01622 744640, NaN
Weatherbys Hamilton Insurance, enquiries@weatherbyshamilton.co.uk, http://www.weatherbyshamilton.co.uk/, NaN, NaN, 01638 563444, NaN
Whitehead Monckton, enquiries@whitehead-monckton.co.uk, http://www.whitehead-monckton.co.uk/, Maidstone Branch, NaN, 01622 698000, 01622 690050
Yara UK Ltd, ypl.info@yara.com, http://www.yara.co.uk/, NaN, NaN, 01795 302545, NaN
